epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.1218,1.44593,3.33964,1.62923,0.72125,0.19262,0.19929,0.12719,1.48944,2.45513,1.83043,0.000174561,0.000174561,0.000174561
2,131.38,1.45857,2.50482,1.58912,0.58925,0.22271,0.21253,0.12848,1.51755,2.50833,1.92154,0.00034643,0.00034643,0.00034643
3,195.081,1.45259,2.28198,1.57207,0.75252,0.26741,0.29072,0.17324,1.45856,2.1312,1.77742,0.000514828,0.000514828,0.000514828
4,257.235,1.4338,2.10291,1.54735,0.65424,0.22877,0.24682,0.15204,1.47848,2.17304,1.769,0.000510378,0.000510378,0.000510378
5,319.995,1.38775,1.97902,1.53218,0.65149,0.31054,0.33156,0.19883,1.45961,1.96258,1.76932,0.00050517,0.00050517,0.00050517
6,382.6,1.38914,1.87639,1.52715,0.78433,0.30336,0.35174,0.21625,1.45579,1.81676,1.76651,0.000499963,0.000499963,0.000499963
7,446.765,1.36079,1.78337,1.49935,0.70084,0.35412,0.37708,0.23878,1.44393,1.75803,1.75191,0.000494756,0.000494756,0.000494756
8,509.455,1.35939,1.72656,1.5038,0.76542,0.3647,0.39739,0.24769,1.4163,1.65769,1.75493,0.000489548,0.000489548,0.000489548
9,572.28,1.33451,1.62784,1.48741,0.62153,0.37395,0.38274,0.24187,1.37981,1.77284,1.66979,0.000484341,0.000484341,0.000484341
10,634.389,1.32245,1.58597,1.47756,0.61426,0.40018,0.41056,0.24558,1.42369,1.6687,1.76697,0.000479133,0.000479133,0.000479133
11,697.709,1.31063,1.53062,1.46342,0.61049,0.41289,0.43979,0.27291,1.3641,1.63085,1.65976,0.000473926,0.000473926,0.000473926
12,759.703,1.29045,1.48099,1.45024,0.70552,0.40745,0.46288,0.28633,1.39118,1.48347,1.66666,0.000468719,0.000468719,0.000468719
13,823.398,1.29416,1.4606,1.44938,0.59855,0.3864,0.42775,0.27146,1.36342,1.5926,1.6594,0.000463511,0.000463511,0.000463511
14,885.871,1.28288,1.41835,1.44259,0.78404,0.39937,0.48334,0.30702,1.33471,1.36989,1.62647,0.000458304,0.000458304,0.000458304
15,948.477,1.25948,1.40738,1.43536,0.76,0.38059,0.45006,0.28117,1.33776,1.49515,1.65325,0.000453096,0.000453096,0.000453096
16,1009.79,1.2601,1.36416,1.41769,0.64197,0.40739,0.4686,0.29178,1.34146,1.46487,1.65003,0.000447889,0.000447889,0.000447889
17,1072.8,1.26007,1.36787,1.42693,0.65621,0.43204,0.46975,0.28906,1.34401,1.43331,1.64654,0.000442682,0.000442682,0.000442682
18,1134.92,1.24377,1.30635,1.40336,0.67504,0.47992,0.50901,0.32462,1.33004,1.37753,1.64143,0.000437474,0.000437474,0.000437474
19,1198.32,1.23366,1.30927,1.40344,0.69136,0.44701,0.50135,0.31941,1.31373,1.35845,1.59245,0.000432267,0.000432267,0.000432267
20,1260.18,1.23249,1.26555,1.39481,0.69654,0.45755,0.51217,0.32734,1.31005,1.24953,1.5917,0.000427059,0.000427059,0.000427059
21,1322.75,1.21616,1.2477,1.38812,0.59621,0.4688,0.50003,0.31327,1.30715,1.34401,1.61361,0.000421852,0.000421852,0.000421852
22,1384.19,1.20652,1.24206,1.38502,0.64607,0.45598,0.52508,0.32839,1.3053,1.2929,1.59835,0.000416645,0.000416645,0.000416645
23,1447.62,1.20648,1.22017,1.38403,0.50512,0.51649,0.53041,0.32533,1.31969,1.3633,1.60896,0.000411437,0.000411437,0.000411437
24,1509.51,1.18583,1.19925,1.37181,0.70279,0.48562,0.55526,0.33821,1.3082,1.25994,1.61965,0.00040623,0.00040623,0.00040623
25,1573.08,1.19465,1.17988,1.37699,0.76976,0.45281,0.56821,0.35537,1.30347,1.25404,1.59662,0.000401022,0.000401022,0.000401022
26,1635.55,1.17159,1.16143,1.36533,0.59199,0.54087,0.59873,0.36944,1.30333,1.18303,1.59481,0.000395815,0.000395815,0.000395815
27,1699.89,1.19762,1.15789,1.37357,0.66288,0.50926,0.5591,0.33873,1.32007,1.25154,1.5983,0.000390608,0.000390608,0.000390608
28,1763.03,1.1727,1.12764,1.35134,0.55741,0.53733,0.58522,0.3578,1.29735,1.18636,1.5837,0.0003854,0.0003854,0.0003854
29,1826.97,1.16357,1.11621,1.34936,0.66817,0.52944,0.55274,0.34801,1.28402,1.19881,1.57873,0.000380193,0.000380193,0.000380193
30,1889.89,1.16649,1.11483,1.34832,0.63117,0.52371,0.56767,0.35602,1.29108,1.14953,1.59449,0.000374985,0.000374985,0.000374985
31,1953.11,1.16108,1.084,1.34891,0.63268,0.53511,0.58861,0.36914,1.29336,1.16575,1.57633,0.000369778,0.000369778,0.000369778
32,2015.56,1.15256,1.09208,1.34501,0.73902,0.52013,0.58838,0.37344,1.26439,1.16459,1.57204,0.000364571,0.000364571,0.000364571
33,2079.13,1.14836,1.06844,1.3385,0.71036,0.52058,0.58966,0.36034,1.27062,1.1812,1.57629,0.000359363,0.000359363,0.000359363
34,2141.87,1.15067,1.07243,1.33814,0.7335,0.5178,0.60743,0.37949,1.26891,1.10944,1.55912,0.000354156,0.000354156,0.000354156
35,2205.91,1.13386,1.0305,1.32359,0.62872,0.58996,0.6325,0.40003,1.24179,1.10188,1.53038,0.000348948,0.000348948,0.000348948
36,2269.35,1.12772,1.03182,1.32256,0.56156,0.59911,0.5893,0.36864,1.28491,1.18436,1.57234,0.000343741,0.000343741,0.000343741
37,2333.17,1.15623,1.04695,1.33881,0.61241,0.6031,0.61358,0.38093,1.248,1.0893,1.55319,0.000338534,0.000338534,0.000338534
38,2396.39,1.11448,0.99799,1.31522,0.62586,0.59532,0.63625,0.39607,1.27319,1.11217,1.56225,0.000333326,0.000333326,0.000333326
39,2459.72,1.12239,1.01273,1.31469,0.70634,0.55184,0.62861,0.39811,1.24698,1.06937,1.54064,0.000328119,0.000328119,0.000328119
40,2521.99,1.11845,1.009,1.31748,0.73763,0.54762,0.63144,0.39115,1.26733,1.06823,1.56738,0.000322911,0.000322911,0.000322911
41,2584.18,1.09699,0.97415,1.30316,0.69226,0.60224,0.6485,0.4082,1.26511,1.04443,1.54949,0.000317704,0.000317704,0.000317704
42,2646.96,1.11676,0.98694,1.30774,0.72272,0.58632,0.68018,0.41422,1.26992,1.068,1.57166,0.000312497,0.000312497,0.000312497
43,2709.38,1.10048,0.96554,1.30593,0.56913,0.64105,0.65958,0.41268,1.24635,1.05157,1.54439,0.000307289,0.000307289,0.000307289
44,2771.9,1.10093,0.96303,1.30611,0.72336,0.55343,0.63597,0.3944,1.24409,1.11425,1.52557,0.000302082,0.000302082,0.000302082
45,2835.38,1.09312,0.96281,1.30145,0.74695,0.60454,0.68725,0.42442,1.24926,1.03331,1.5417,0.000296874,0.000296874,0.000296874
46,2899.41,1.09284,0.95515,1.29959,0.77653,0.60439,0.68813,0.43739,1.23536,1.00464,1.51892,0.000291667,0.000291667,0.000291667
47,2962.67,1.09458,0.94616,1.29314,0.75833,0.63373,0.70425,0.43565,1.23005,0.99897,1.52494,0.00028646,0.00028646,0.00028646
48,3025.82,1.08978,0.95112,1.29444,0.73711,0.6004,0.68338,0.41669,1.23463,1.04672,1.52392,0.000281252,0.000281252,0.000281252
49,3090.04,1.07488,0.93456,1.29164,0.79609,0.6119,0.7064,0.43252,1.23457,1.01724,1.53107,0.000276045,0.000276045,0.000276045
50,3152.67,1.07712,0.91338,1.2852,0.76795,0.62113,0.71022,0.43605,1.23927,0.99432,1.52212,0.000270837,0.000270837,0.000270837
51,3214.74,1.07464,0.90604,1.28472,0.71633,0.67629,0.70787,0.43084,1.23023,0.99523,1.53404,0.00026563,0.00026563,0.00026563
52,3278.18,1.07722,0.90246,1.27429,0.77555,0.61803,0.71207,0.43419,1.23949,0.99446,1.52721,0.000260423,0.000260423,0.000260423
53,3340.92,1.06343,0.89782,1.27477,0.77418,0.65995,0.7168,0.45038,1.23233,0.95847,1.52891,0.000255215,0.000255215,0.000255215
54,3404.35,1.05894,0.88329,1.27022,0.77514,0.63969,0.72213,0.45575,1.22764,0.9593,1.52511,0.000250008,0.000250008,0.000250008
